epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
42,1420.48,0.37023,0.61832,0.27702,0.83316,0,0.98266,0.9875,0.99041,0.94665,0.98266,0.9875,0.99041,0.88941,0.3597,0.57747,0.25012,0.81716,0,0.00162011,0.000540037,0.00162011,0.000540037,0.00162011,0.000540037,0.00162011,0.000540037
43,1467.41,0.33881,0.54229,0.25384,0.81602,0,0.99011,0.97323,0.9903,0.94885,0.99011,0.97323,0.9903,0.89798,0.34507,0.58768,0.24727,0.81179,0,0.00159311,0.000531038,0.00159311,0.000531038,0.00159311,0.000531038,0.00159311,0.000531038
44,1520.43,0.32995,0.57478,0.25295,0.8127,0,0.9809,0.98465,0.98909,0.95059,0.98169,0.97573,0.98537,0.89172,0.35568,0.60479,0.25176,0.8171,0,0.00156612,0.000522039,0.00156612,0.000522039,0.00156612,0.000522039,0.00156612,0.000522039
45,1602.72,0.33355,0.5921,0.25399,0.8096,0,0.96761,0.98032,0.98678,0.94423,0.96793,0.97979,0.98346,0.88838,0.35613,0.59106,0.24483,0.81837,0,0.00153912,0.00051304,0.00153912,0.00051304,0.00153912,0.00051304,0.00153912,0.00051304
46,1652.15,0.33394,0.54284,0.24823,0.82212,0,0.98622,0.96493,0.98639,0.93913,0.98622,0.96493,0.9831,0.89183,0.3642,0.60083,0.24885,0.82169,0,0.00151212,0.00050404,0.00151212,0.00050404,0.00151212,0.00050404,0.00151212,0.00050404
47,1720.58,0.35541,0.58332,0.25907,0.82193,0,0.98873,0.97319,0.99017,0.94857,0.98873,0.97319,0.98683,0.89626,0.35296,0.59402,0.24152,0.81977,0,0.00148512,0.000495041,0.00148512,0.000495041,0.00148512,0.000495041,0.00148512,0.000495041
48,1777.66,0.33422,0.59186,0.24928,0.82051,0,0.99154,0.97966,0.99096,0.95121,0.99154,0.97966,0.98776,0.89476,0.34877,0.59882,0.23694,0.81654,0,0.00145813,0.000486042,0.00145813,0.000486042,0.00145813,0.000486042,0.00145813,0.000486042
49,1834.94,0.32481,0.57285,0.25632,0.81304,0,0.98966,0.97044,0.99203,0.95342,0.98966,0.97044,0.98895,0.89715,0.35272,0.61089,0.2398,0.81865,0,0.00143113,0.000477043,0.00143113,0.000477043,0.00143113,0.000477043,0.00143113,0.000477043
50,1878.48,0.34655,0.60005,0.25296,0.81854,0,0.98962,0.9737,0.99213,0.95397,0.98962,0.9737,0.98893,0.90172,0.35088,0.59687,0.23454,0.82076,0,0.00140413,0.000468044,0.00140413,0.000468044,0.00140413,0.000468044,0.00140413,0.000468044
51,1922.24,0.33049,0.56099,0.24563,0.81339,0,0.99008,0.98126,0.99005,0.95264,0.99008,0.98126,0.98719,0.89252,0.34228,0.59592,0.22655,0.81402,0,0.00137713,0.000459045,0.00137713,0.000459045,0.00137713,0.000459045,0.00137713,0.000459045
52,1981.12,0.33705,0.56078,0.24606,0.82352,0,0.99163,0.97841,0.99056,0.95479,0.99163,0.97841,0.98766,0.89078,0.33805,0.59516,0.22554,0.81046,0,0.00135014,0.000450046,0.00135014,0.000450046,0.00135014,0.000450046,0.00135014,0.000450046
53,2029.14,0.33042,0.56788,0.24339,0.81664,0,0.9902,0.98002,0.99088,0.9523,0.9902,0.98002,0.98792,0.88799,0.34038,0.59892,0.23742,0.81206,0,0.00132314,0.000441047,0.00132314,0.000441047,0.00132314,0.000441047,0.00132314,0.000441047
54,2070.61,0.31982,0.56123,0.23681,0.81205,0,0.98138,0.98967,0.99082,0.95197,0.99037,0.98007,0.98792,0.89434,0.33234,0.60471,0.22868,0.81162,0,0.00129614,0.000432048,0.00129614,0.000432048,0.00129614,0.000432048,0.00129614,0.000432048
55,2112.51,0.32518,0.53658,0.24041,0.81836,0,0.99066,0.97777,0.99008,0.951,0.99066,0.97777,0.98723,0.88986,0.33312,0.61246,0.22991,0.81408,0,0.00126915,0.000423049,0.00126915,0.000423049,0.00126915,0.000423049,0.00126915,0.000423049
56,2156.23,0.33216,0.57162,0.24448,0.81274,0,0.98994,0.97989,0.99099,0.95537,0.98994,0.97989,0.99099,0.89304,0.33274,0.59339,0.22458,0.81309,0,0.00124215,0.000414049,0.00124215,0.000414049,0.00124215,0.000414049,0.00124215,0.000414049
57,2197.1,0.33028,0.55461,0.24505,0.8155,0,0.98981,0.98094,0.99083,0.95649,0.98981,0.98094,0.99083,0.89481,0.32932,0.59734,0.21243,0.81109,0,0.00121515,0.00040505,0.00121515,0.00040505,0.00121515,0.00040505,0.00121515,0.00040505
58,2239.39,0.31286,0.5251,0.23416,0.8081,0,0.97741,0.98258,0.99034,0.95294,0.97741,0.98258,0.99034,0.88986,0.33657,0.59272,0.22459,0.81146,0,0.00118815,0.000396051,0.00118815,0.000396051,0.00118815,0.000396051,0.00118815,0.000396051
59,2277.1,0.31204,0.54928,0.2282,0.82013,0,0.99019,0.98098,0.98988,0.95427,0.99019,0.98098,0.98988,0.89513,0.32281,0.58134,0.22247,0.80881,0,0.00116116,0.000387052,0.00116116,0.000387052,0.00116116,0.000387052,0.00116116,0.000387052
60,2333.42,0.32077,0.57384,0.23061,0.81775,0,0.99079,0.98154,0.99027,0.95619,0.99079,0.98154,0.99027,0.8909,0.32488,0.5919,0.22107,0.80839,0,0.00113416,0.000378053,0.00113416,0.000378053,0.00113416,0.000378053,0.00113416,0.000378053
61,2386.33,0.3149,0.57305,0.24185,0.81465,0,0.98901,0.98032,0.98773,0.95329,0.98901,0.98032,0.98773,0.89225,0.32697,0.59918,0.22022,0.81113,0,0.00110716,0.000369054,0.00110716,0.000369054,0.00110716,0.000369054,0.00110716,0.000369054
62,2451.36,0.30907,0.54581,0.22878,0.80144,0,0.98739,0.97845,0.99075,0.95641,0.98739,0.97845,0.99075,0.89979,0.32229,0.58046,0.21797,0.8117,0,0.00108016,0.000360055,0.00108016,0.000360055,0.00108016,0.000360055,0.00108016,0.000360055
63,2496.47,0.31173,0.52056,0.23424,0.81003,0,0.98196,0.98048,0.98996,0.95211,0.98196,0.98048,0.98717,0.89834,0.33009,0.58926,0.22924,0.8148,0,0.00105317,0.000351056,0.00105317,0.000351056,0.00105317,0.000351056,0.00105317,0.000351056
64,2537.55,0.30142,0.53733,0.22805,0.8083,0,0.98035,0.98145,0.99045,0.95267,0.98035,0.98145,0.98948,0.89771,0.32989,0.59649,0.22366,0.81485,0,0.00102617,0.000342057,0.00102617,0.000342057,0.00102617,0.000342057,0.00102617,0.000342057
